,name,hymeniumType,capShape,whichGills,stipeCharacter,sporePrintColor,ecologicalType,howEdible
545,Rhizomarasmius undatus,gills on hymenium,cap is convex,"hymenium is adnate
   or subdecurrent",stipe is bare,spore print is white,ecology is saprotrophic,edibility: unknown
546,Rhodocollybia butyracea,gills on hymenium,"cap is convex
   or flat","hymenium is adnexed
   or free",stipe is bare,"spore print is cream
   to buff",ecology is saprotrophic,edibility: edible
547,Rhodocollybia maculata,gills on hymenium,"cap is convex
   or flat",hymenium is adnexed,stipe is bare,"spore print is pink
   to cream",ecology is saprotrophic,edibility: inedible
548,Rhodotus,gills on hymenium,cap is convex,hymenium is adnate,stipe is bare,spore print is pink,ecology is saprotrophic,edibility: unknown
549,Rhodotus palmatus,gills on hymenium,cap is convex,hymenium is adnate,stipe is bare,spore print is pink,ecology is saprotrophic,edibility: unknown
550,Rickenella fibula,gills on hymenium,"cap is depressed
   or infundibuliform",hymenium is decurrent,stipe is bare,spore print is white,ecology is saprotrophic,"edibility: edible, but unpalatable"
551,Roridomyces austrororidus,gills on hymenium,"cap is convex
   or conical",hymenium is adnate,stipe is bare,spore print is white,ecology is saprotrophic,edibility: inedible
552,Roridomyces roridus,gills on hymenium,cap is conical,hymenium is adnate,stipe is bare,spore print is white,ecology is saprotrophic,edibility: unknown
553,Rubroboletus legaliae,pores on hymenium,cap is convex,hymenium is adnate,stipe is bare,spore print is olive-brown,ecology is mycorrhizal,edibility: poisonous
554,Rubroboletus pulcherrimus,pores on hymenium,cap is convex,hymenium is adnate,stipe is bare,spore print is olive,ecology is mycorrhizal,edibility: poisonous
555,Rubroboletus satanas,pores on hymenium,cap is convex,hymenium is adnate,stipe is bare,spore print is olive,ecology is mycorrhizal,edibility: poisonous
556,Russula albonigra,gills on hymenium,"cap is convex
   or infundibuliform",hymenium is decurrent,stipe is bare,spore print is white,ecology is mycorrhizal,edibility: unknown
557,Russula amethystina,gills on hymenium,cap is flat,hymenium is free,stipe is bare,spore print is white,ecology is mycorrhizal,edibility: edible
558,Russula atropurpurea,gills on hymenium,"cap is convex
   or flat",hymenium is adnexed,stipe is bare,spore print is white,ecology is mycorrhizal,edibility: edible
559,Russula aurea,gills on hymenium,"cap is convex
   or depressed","hymenium is free
   or adnexed",stipe is bare,"spore print is white
   to cream",ecology is mycorrhizal,edibility: edible
560,Russula brevipes,gills on hymenium,"cap is flat
   or infundibuliform",hymenium is decurrent,stipe is bare,spore print is white,ecology is mycorrhizal,edibility: edible
561,Russula claroflava,gills on hymenium,cap is convex,hymenium is free,stipe is bare,spore print is white,ecology is mycorrhizal,edibility: choice
562,Russula cyanoxantha,gills on hymenium,"cap is flat
   or convex",hymenium is adnate,stipe is bare,spore print is white,ecology is mycorrhizal,edibility: choice
563,Russula emetica,gills on hymenium,"cap is convex
   or flat","hymenium is adnate
   or free",stipe is bare,spore print is white,ecology is mycorrhizal,edibility: poisonous
564,Russula nobilis,gills on hymenium,cap is convex,hymenium is free,stipe is bare,spore print is white,ecology is mycorrhizal,edibility: inedible
565,Russula ochroleuca,gills on hymenium,cap is convex,"hymenium is free
   or adnexed",stipe is bare,spore print is white,ecology is mycorrhizal,"edibility: edible, but unpalatable"
566,Russula paludosa,gills on hymenium,cap is convex,hymenium is decurrent,stipe is bare,spore print is ochre,ecology is mycorrhizal,edibility: edible
567,Russula subnigricans,gills on hymenium,cap is convex,hymenium is free,stipe is bare,spore print is white,ecology is mycorrhizal,edibility: poisonous
568,Russula vesca,gills on hymenium,"cap is convex
   or flat",hymenium is free,stipe is bare,spore print is white,ecology is mycorrhizal,edibility: edible
569,Russula virescens,gills on hymenium,"cap is convex
   or flat",hymenium is adnate,stipe is bare,"spore print is white
   to yellow",ecology is mycorrhizal,edibility: choice
570,Russula xerampelina,gills on hymenium,"cap is convex
   or flat",hymenium is free,stipe is bare,spore print is ochre,ecology is mycorrhizal,edibility: choice
571,Saproamanita thiersii,gills on hymenium,cap is convex,hymenium is free,stipe has a ring and volva,spore print is white,ecology is saprotrophic,edibility: poisonous
572,Saproamanita vittadinii,gills on hymenium,cap is convex,hymenium is free,stipe has a volva,spore print is white,ecology is saprotrophic,edibility: unknown
573,Sarcodon imbricatus,teeth on hymenium,cap is flat,hymenium is adnate,stipe is bare,spore print is brown,ecology is mycorrhizal,edibility: edible
574,Scleroderma areolatum,glebal hymenium,no distinct cap,hymenium attachment is not applicable,lacks a stipe,"spore print is purple-black
   to olive",ecology is mycorrhizal,edibility: inedible
575,Scleroderma citrinum,glebal hymenium,no distinct cap,hymenium attachment is not applicable,lacks a stipe,spore print is purple-black,ecology is mycorrhizal,edibility: poisonous
576,Shaggy parasol,gills on hymenium,"cap is umbonate
   or convex",hymenium is free,stipe has a ring,spore print is white,ecology is saprotrophic,"edibility: choice
   but not recommended"
577,Shiitake,gills on hymenium,cap is convex,hymenium is free,stipe is bare,"spore print is white
   to buff",ecology is saprotrophic,edibility: choice
578,Sparassis crispa,smooth hymenium,no distinct cap,hymenium attachment is irregular or not applicable,"lacks a stipe
   or is bare","spore print is white
   to cream",ecology is saprotrophic,edibility: choice
579,Sphagnurus paluster,gills on hymenium,"cap is conical
   or flat","hymenium is adnate
   or sinuate",stipe is bare,spore print is white,ecology is parasitic,edibility: unknown
580,Stereum ostrea,pores on hymenium,"cap is offset
   or indistinct",hymenium is decurrent,lacks a stipe,"spore print is white
   to yellow",ecology is saprotrophic,edibility: inedible
581,Strobilomyces foveatus,pores on hymenium,cap is convex,hymenium is adnate,stipe is bare,"spore print is black
   to brown",ecology is mycorrhizal,edibility: unknown
582,Strobilomyces strobilaceus,pores on hymenium,cap is convex,hymenium is adnate,stipe has a ring,"spore print is blackish-brown
   to black",ecology is mycorrhizal,edibility: edible
583,Stropharia ambigua,gills on hymenium,cap is convex,hymenium is adnate,stipe has a ring,spore print is purple-brown,ecology is saprotrophic,edibility: unknown
584,Stropharia rugosoannulata,gills on hymenium,"cap is convex
   or flat",hymenium is adnate,stipe has a ring,spore print is purple,ecology is saprotrophic,edibility: choice
585,Suillellus amygdalinus,pores on hymenium,cap is convex,hymenium is adnate,stipe is bare,spore print is olive-brown,ecology is mycorrhizal,edibility: choice
586,Suillellus luridus,pores on hymenium,cap is convex,hymenium is adnate,stipe is bare,spore print is olive-brown,ecology is mycorrhizal,"edibility: edible
   but not recommended"
587,Suillus americanus,pores on hymenium,"cap is convex
   or flat","hymenium is adnate
   or decurrent",stipe is bare,spore print is brown,ecology is mycorrhizal,edibility: edible
588,Suillus bellinii,pores on hymenium,"cap is convex
   or flat","hymenium is adnate
   or decurrent",stipe is bare,spore print is brown,ecology is mycorrhizal,edibility: edible
589,Suillus bovinus,pores on hymenium,"cap is flat
   or convex","hymenium is adnate
   or decurrent",stipe is bare,spore print is olive-brown,ecology is mycorrhizal,edibility: edible
590,Suillus brevipes,pores on hymenium,"cap is convex
   or flat","hymenium is adnate
   or decurrent",stipe is bare,spore print is brown,ecology is mycorrhizal,edibility: edible
591,Suillus collinitus,pores on hymenium,"cap is convex
   or flat",hymenium is decurrent,stipe is bare,spore print is brown,ecology is mycorrhizal,edibility: edible
592,Suillus granulatus,pores on hymenium,"cap is flat
   or convex","hymenium is adnate
   or decurrent",stipe is bare,spore print is brown,ecology is mycorrhizal,edibility: edible
593,Suillus kaibabensis,pores on hymenium,cap is convex,hymenium is adnate,stipe is bare,spore print is brown,ecology is mycorrhizal,edibility: edible
594,Suillus lakei,pores on hymenium,"cap is convex
   or flat","hymenium is adnate
   or decurrent",stipe has a ring,spore print is brown,ecology is mycorrhizal,edibility: edible
595,Suillus luteus,pores on hymenium,cap is convex,"hymenium is adnate
   or subdecurrent",stipe has a ring,spore print is brown,ecology is mycorrhizal,edibility: edible
596,Suillus salmonicolor,pores on hymenium,"cap is convex
   or flat","hymenium is adnate
   or decurrent",stipe is bare,spore print is brown,ecology is mycorrhizal,edibility: edible
597,Suillus sibiricus,pores on hymenium,"cap is convex
   or flat","hymenium is adnate
   or decurrent","stipe has a ring
   or is bare",spore print is brown,ecology is mycorrhizal,edibility: edible
598,Suillus spraguei,pores on hymenium,cap is convex,hymenium is decurrent,stipe has a ring,spore print is olive-brown,ecology is mycorrhizal,"edibility: choice
   or edible"
599,Suillus viscidus,pores on hymenium,cap is convex,hymenium is decurrent,stipe has a ring,spore print is brown,ecology is mycorrhizal,edibility: edible
600,Tapinella atrotomentosa,gills on hymenium,cap is depressed,hymenium is decurrent,stipe is bare,spore print is buff,ecology is saprotrophic,edibility: inedible
601,Tectella patellaris,gills on hymenium,cap is infundibuliform,hymenium is free,"stipe is bare
   or lacks a stipe",spore print is white,ecology is saprotrophic,edibility: unknown
602,Tephrocybe rancida,gills on hymenium,"cap is convex
   or flat",hymenium is free,stipe is bare,spore print is white,ecology is saprotrophic,"edibility: unknown
   or inedible"
603,Trametes gibbosa,pores on hymenium,cap is offset,hymenium is decurrent,stipe is bare,"spore print is white
   to cream",ecology is saprotrophic,edibility: inedible
604,Trametes versicolor,pores on hymenium,"cap is offset
   or indistinct",hymenium is decurrent,lacks a stipe,"spore print is white
   to yellow",ecology is saprotrophic,"edibility: edible, but unpalatable"
605,Tremella mesenterica,smooth hymenium,no distinct cap,hymenium attachment is not applicable,lacks a stipe,"spore print is white
   to yellow",ecology is parasitic,edibility: edible
606,Tricholoma album,gills on hymenium,"cap is convex
   or flat",hymenium is adnexed,stipe is bare,"spore print is white
   to cream",ecology is mycorrhizal,edibility: inedible
607,Tricholoma argyraceum,gills on hymenium,"cap is convex
   or flat",hymenium is adnexed,stipe is bare,"spore print is white
   to cream",ecology is mycorrhizal,edibility: edible
608,Tricholoma atrosquamosum,gills on hymenium,cap is convex,"hymenium is adnate
   or free",stipe is bare,spore print is white,ecology is mycorrhizal,edibility: edible
609,Tricholoma columbetta,gills on hymenium,cap is convex,hymenium is adnexed,stipe is bare,spore print is white,ecology is mycorrhizal,edibility: edible
610,Tricholoma equestre,gills on hymenium,cap is flat,hymenium is adnexed,stipe is bare,spore print is white,ecology is mycorrhizal,edibility: not recommended
611,Tricholoma matsutake,gills on hymenium,cap is convex,hymenium is adnexed,stipe has a ring,spore print is white,ecology is mycorrhizal,edibility: choice
612,Tricholoma murrillianum,gills on hymenium,cap is convex,"hymenium is adnate
   or adnexed",stipe has a ring,spore print is white,ecology is mycorrhizal,edibility: choice
613,Tricholoma orirubens,gills on hymenium,cap is convex,hymenium is adnate,stipe is bare,spore print is white,ecology is mycorrhizal,edibility: edible
614,Tricholoma pardinum,gills on hymenium,cap is convex,hymenium is free,stipe is bare,spore print is white,ecology is mycorrhizal,edibility: poisonous
615,Tricholoma portentosum,gills on hymenium,cap is convex,hymenium is adnate,stipe is bare,spore print is white,ecology is mycorrhizal,edibility: edible
616,Tricholoma saponaceum,gills on hymenium,cap is convex,hymenium is adnexed,stipe is bare,spore print is white,ecology is mycorrhizal,edibility: inedible
617,Tricholoma sejunctum,gills on hymenium,cap is convex,hymenium is adnexed,stipe is bare,spore print is white,ecology is mycorrhizal,edibility: unknown
618,Tricholoma sulphureum,gills on hymenium,cap is convex,hymenium is adnexed,stipe is bare,spore print is white,ecology is mycorrhizal,edibility: poisonous
619,Tricholoma terreum,gills on hymenium,"cap is convex
   or flat",hymenium is adnexed,stipe is bare,"spore print is white
   to cream",ecology is mycorrhizal,edibility: edible
620,Tricholoma ustaloides,gills on hymenium,cap is convex,"hymenium is adnexed
   or adnate",stipe is bare,spore print is white,ecology is mycorrhizal,edibility: inedible
621,Tricholoma vernaticum,gills on hymenium,"cap is convex
   or flat",hymenium is adnate,stipe has a ring,spore print is white,ecology is mycorrhizal,edibility: unknown
622,Tricholomopsis decora,gills on hymenium,"cap is convex
   or depressed",hymenium is adnate,stipe is bare,spore print is white,ecology is saprotrophic,edibility: unknown
623,Tricholomopsis rutilans,gills on hymenium,cap is convex,hymenium is adnate,stipe is bare,spore print is cream,ecology is saprotrophic,edibility: inedible
624,Turbinellus floccosus,ridges on hymenium,cap is infundibuliform,hymenium is decurrent,stipe is bare,spore print is brown,ecology is mycorrhizal,edibility: poisonous
625,Tylopilus alboater,pores on hymenium,"cap is convex
   or flat",hymenium is adnate,stipe is bare,spore print is pink,ecology is mycorrhizal,edibility: edible
626,Tylopilus atronicotianus,pores on hymenium,"cap is convex
   or flat",hymenium is adnate,stipe is bare,spore print is reddish-brown,ecology is mycorrhizal,edibility: unknown
627,Tylopilus felleus,pores on hymenium,cap is convex,hymenium is adnate,stipe is bare,"spore print is buff
   to pink",ecology is mycorrhizal,edibility: inedible
628,Tylopilus plumbeoviolaceus,pores on hymenium,cap is convex,hymenium is adnate,stipe is bare,"spore print is buff
   to pink",ecology is mycorrhizal,edibility: inedible
629,Tylopilus tabacinus,pores on hymenium,"cap is convex
   or flat",hymenium is adnate,stipe is bare,"spore print is pinkish-brown
   to reddish-brown",ecology is mycorrhizal,edibility: unknown
630,var.,gills on hymenium,"cap is flat
   or convex",hymenium is free,stipe has a ring and volva,spore print is white,ecology is mycorrhizal,"edibility: not recommended
   or edible"
631,Verpa bohemica,smooth hymenium,cap is convex,hymenium attachment is not applicable,stipe is bare,spore print is yellow,ecology is saprotrophic,edibility: edible
632,Volvariella bombycina,gills on hymenium,"cap is conical
   or umbonate",hymenium is free,stipe has a volva,"spore print is pink
   to salmon",ecology is saprotrophic,edibility: edible
633,Volvariella surrecta,gills on hymenium,"cap is convex
   or flat",hymenium is free,stipe has a volva,spore print is pinkish-brown,ecology is parasitic,edibility: inedible
634,Volvariella volvacea,gills on hymenium,"cap is conical
   or umbonate",hymenium is free,stipe has a volva,spore print is salmon,ecology is saprotrophic,edibility: choice
635,Volvopluteus,gills on hymenium,"cap is ovate
   or flat",hymenium is free,stipe has a volva,"spore print is pink
   to pinkish-brown",ecology is saprotrophic,"edibility: edible, but unpalatable
   or unknown"
636,Volvopluteus asiaticus,gills on hymenium,"cap is ovate
   or flat",hymenium is free,stipe has a volva,"spore print is pink
   to pinkish-brown",ecology is saprotrophic,edibility: unknown
637,Volvopluteus earlei,gills on hymenium,"cap is ovate
   or flat",hymenium is free,stipe has a volva,"spore print is pink
   to pinkish-brown",ecology is saprotrophic,edibility: unknown
638,Volvopluteus gloiocephalus,gills on hymenium,"cap is ovate
   or flat",hymenium is free,stipe has a volva,"spore print is pink
   to pinkish-brown",ecology is saprotrophic,"edibility: edible
   or edible, but unpalatable"
639,Volvopluteus michiganensis,gills on hymenium,"cap is ovate
   or flat",hymenium is free,stipe has a volva,"spore print is pink
   to pinkish-brown",ecology is saprotrophic,edibility: unknown
640,Xerocomellus zelleri,pores on hymenium,"cap is convex
   or flat",hymenium is adnate,stipe is bare,spore print is olive-brown,ecology is mycorrhizal,edibility: edible
641,Xerula megalospora,gills on hymenium,"cap is convex
   or umbonate",hymenium is adnexed,stipe is bare,spore print is white,ecology is saprotrophic,edibility: unknown
